model,mode,prompt,intent,entity,engine,reason,metric_checked,expected_value,reply_contains_expected_value,parse_ms,data_fetch_ms,llm_ms,total_ms
llama3,PRO,What is the price of Bitcoin right now?,price,bitcoin,fallback,guardrail_rejected,price_usd,"$70,566",True,0.05,2079.76,2072.59,4152.44
llama3,SIMPLE,What is the price of Ethereum right now?,price,ethereum,fallback,guardrail_rejected,price_usd,"$2,150",True,0.04,298.96,2411.39,2710.44
llama3,PRO,Show me the TVL of Aave.,tvl,aave,fallback,guardrail_rejected,tvl_usd,$25.19B,True,0.03,323.28,2714.3,3037.67
llama3,SIMPLE,How much is Solana worth right now?,price,solana,ollama,ollama_success,price_usd,N/A,False,0.02,1857.56,2443.77,4301.4
llama3,PRO,Show me the TVL of Uniswap.,tvl,uniswap,fallback,guardrail_rejected,tvl_usd,$1.70B,True,0.02,1852.87,2641.21,4494.13
llama3,SIMPLE,What is the price of Dogecoin right now?,price,dogecoin,ollama,ollama_success,price_usd,N/A,False,0.05,1853.49,2406.62,4260.29
qwen2.5:3b,PRO,What is the price of Bitcoin right now?,price,bitcoin,fallback,guardrail_rejected,price_usd,N/A,False,0.02,1856.75,1404.77,3261.57
qwen2.5:3b,SIMPLE,What is the price of Ethereum right now?,price,ethereum,ollama,ollama_success,price_usd,N/A,False,0.04,1861.87,1060.97,2923.0
qwen2.5:3b,PRO,Show me the TVL of Aave.,tvl,aave,fallback,guardrail_rejected,tvl_usd,$25.19B,True,0.05,1846.74,6599.48,8446.35
qwen2.5:3b,SIMPLE,How much is Solana worth right now?,price,solana,ollama,ollama_success,price_usd,N/A,False,0.04,1863.12,1086.36,2949.61
qwen2.5:3b,PRO,Show me the TVL of Uniswap.,tvl,uniswap,fallback,guardrail_rejected,tvl_usd,$1.70B,True,0.03,1858.67,2128.47,3987.26
qwen2.5:3b,SIMPLE,What is the price of Dogecoin right now?,price,dogecoin,ollama,ollama_success,price_usd,N/A,False,0.02,1853.91,1201.11,3055.1
